Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,9,6723,4851,3195,1107,972,0,900,3249,54,108
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,8,5976,4312,2840,984,864,0,800,2888,48,96
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,7,5229,3773,2485,861,756,0,700,2527,42,84
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,6,4482,3234,2130,738,648,0,600,2166,36,72
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,5,3735,2695,1775,615,540,0,500,1805,30,60
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,4,2988,2156,1420,492,432,0,400,1444,24,48
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,3,2241,1617,1065,369,324,0,300,1083,18,36
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,2,1494,1078,710,246,216,0,200,722,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis,1,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\inc,1,112,82,15,0,23,1,7,19,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dprep,2,2244,1453,945,263,500,10,291,810,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dprep\inc,1,135,110,22,0,19,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_init,2,257,191,102,49,37,6,29,90,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_init\inc,1,43,27,4,0,10,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_mac,6,1947,1483,827,289,355,27,109,772,36,72
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_mac\inc,2,149,120,14,0,17,2,12,28,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_rinse,2,2360,1651,1016,341,437,24,272,914,6,11
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_rinse\inc,1,130,97,20,0,26,1,7,18,6,11
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_stby,2,769,524,297,122,137,1,108,405,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_stby\inc,1,93,65,17,0,22,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_sys,1,26,11,2,0,9,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness,41,7006,5588,1261,135,1128,3647,290,7132,246,492
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc,40,5610,4491,440,0,879,3611,240,6902,240,480
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc,39,5460,4368,429,0,858,3510,234,6708,234,468
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc,38,5320,4256,418,0,836,3420,228,6536,228,456
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc,37,5180,4144,407,0,814,3330,222,6364,222,444
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc,36,5040,4032,396,0,792,3240,216,6192,216,432
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc,35,4900,3920,385,0,770,3150,210,6020,210,420
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc,34,4760,3808,374,0,748,3060,204,5848,204,408
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc,33,4620,3696,363,0,726,2970,198,5676,198,396
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc,32,4480,3584,352,0,704,2880,192,5504,192,384
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,31,4340,3472,341,0,682,2790,186,5332,186,372
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,30,4200,3360,330,0,660,2700,180,5160,180,360
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,29,4060,3248,319,0,638,2610,174,4988,174,348
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,28,3920,3136,308,0,616,2520,168,4816,168,336
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,27,3780,3024,297,0,594,2430,162,4644,162,324
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,26,3640,2912,286,0,572,2340,156,4472,156,312
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,25,3500,2800,275,0,550,2250,150,4300,150,300
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,24,3360,2688,264,0,528,2160,144,4128,144,288
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,23,3220,2576,253,0,506,2070,138,3956,138,276
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,22,3080,2464,242,0,484,1980,132,3784,132,264
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,21,2940,2352,231,0,462,1890,126,3612,126,252
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,20,2800,2240,220,0,440,1800,120,3440,120,240
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,19,2660,2128,209,0,418,1710,114,3268,114,228
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,18,2520,2016,198,0,396,1620,108,3096,108,216
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,17,2380,1904,187,0,374,1530,102,2924,102,204
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,16,2240,1792,176,0,352,1440,96,2752,96,192
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,15,2100,1680,165,0,330,1350,90,2580,90,180
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,14,1960,1568,154,0,308,1260,84,2408,84,168
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,13,1820,1456,143,0,286,1170,78,2236,78,156
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,12,1680,1344,132,0,264,1080,72,2064,72,144
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,11,1540,1232,121,0,242,990,66,1892,66,132
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,10,1400,1120,110,0,220,900,60,1720,60,120
