File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_Console_Read_ConsoleMessage_Status(void),23,16,10,2,5,0,2,5,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_Console_Read_Message_Ready_Status(void),16,9,5,3,4,0,3,4,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_Console_Read_Message_Console(),70,56,36,10,12,0,2,6,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_MacWrite_Message_Console(void),2,2,2,1,0,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_Mac_Create_ConsoleEvent(void),77,50,36,7,23,0,4,7,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,"memcopy(uint8_t* dest, uint8_t* source, uint32_t size)",8,7,5,2,1,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_increment_msgbufferindex(),7,6,4,2,1,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_increment_consolebufferindex(),7,6,4,2,1,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_Cosnsole_MsgAcknlowledge(),25,17,13,3,5,1,3,8,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,"Cl_SendDatatoconsole_dummy(Cl_ConsoleTxCommandtype command, uint8_t* data,uint8_t datasize)",19,14,14,1,3,6,2,12,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,"Cl_SendDatatoconsole(Cl_ConsoleTxCommandtype command, uint8_t* data,uint8_t datasize)",48,35,25,6,8,6,5,16,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,"Cl_SendDatatoconsoleDummycommand(Cl_ConsoleTxCommandtype command, uint8_t* data,uint8_t datasize)",36,26,20,4,6,5,4,13,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,"Cl_Console_ConvertConsoleEvent_toMacEvent(Cl_ConsoleRxEventsType command ,MAC_EVENTS* MacEvent)",73,64,42,22,7,4,2,6,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_ConsoleStateHandler(MAC_EVENTS Cl_MacRinseEvent),26,25,15,8,1,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,"cl_console_translatemacevent(MAC_EVENTS Cl_MacRinseEvent,Cl_ConsoleRxEventsType cl_consoleeevent)",29,25,16,9,4,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_Console_Console_Sync(void),93,67,44,14,20,1,6,21,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_Console_init(void),4,3,3,1,1,0,0,0,
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_console\cl_consolecontroler.c,Cl_Console_SyncGetMessage(),14,12,8,3,2,2,0,28,
