File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis\cl_dlsis_controller.c,747,539,355,123,108,0,100,361,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dlsis\inc\cl_dlsis_controller.h,112,82,15,0,23,1,7,19,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dprep\cl_dprep_controller.c,2109,1343,923,263,481,9,285,796,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_dprep\inc\cl_dprep_controller.h,135,110,22,0,19,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_init\cl_init.c,214,164,98,49,27,5,23,76,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_init\inc\cl_init.h,43,27,4,0,10,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_mac\cl_mac_apprequesthandndler.c,32,17,11,2,7,0,8,18,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_mac\cl_mac_controller.c,799,611,345,127,160,13,28,336,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_mac\cl_mac_controller_test.c,804,601,357,136,149,12,54,375,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_mac\cl_sys_status.c,163,134,100,24,22,0,7,15,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_mac\inc\cl_mac_controller.h,109,93,12,0,10,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_mac\inc\cl_sys_status.h,40,27,2,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_rinse\cl_rinse_controller.c,2230,1554,996,341,411,23,265,896,0,0
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_rinse\inc\cl_rinse_controller.h,130,97,20,0,26,1,7,18,6,11
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_stby\cl_standby_controller.c,676,459,280,122,115,0,102,391,0,0
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_stby\inc\cl_standby_controller.h,93,65,17,0,22,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_sys\cl_sys.h,26,11,2,0,9,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\cl_testharness.c,1396,1097,821,135,249,36,50,230,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\cl_th.h,150,123,11,0,21,101,6,194,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
