File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_apprequesthandndler.c,32,17,11,2,7,0,8,18,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller.c,799,611,345,127,160,13,28,336,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_mac_controller_test.c,804,601,357,136,149,12,54,375,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\cl_sys_status.c,163,134,100,24,22,0,7,15,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\inc\cl_mac_controller.h,109,93,12,0,10,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\inc\cl_sys_status.h,40,27,2,0,7,1,6,14,6,12
