Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,6,1947,1483,827,289,355,27,109,772,36,72
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac,6,1947,1483,827,289,355,27,109,772,36,72
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\cl_mac\inc,2,149,120,14,0,17,2,12,28,12,24
